"type","george","meeting","labs","email","free","conference","internet","people"
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"spam",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"spam",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
